epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0437,1.3519,4.16786,0.03809,0.00585,1,0.05772,0.02261,0.71136,6.94417,0.02515,0.0002125,0.0002125,0.0002125
2,37.9131,0.97294,4.03309,0.02658,0.00574,1,0.13495,0.06321,0.45681,6.74081,0.01719,0.000433169,0.000433169,0.000433169
3,43.137,0.94798,3.95365,0.02617,0.00415,1,0.16141,0.13101,0.56671,6.69832,0.02058,0.000649382,0.000649382,0.000649382
4,47.6632,0.98737,3.75043,0.02602,0.00311,1,0.28378,0.22665,0.65291,6.34906,0.02315,0.000861141,0.000861141,0.000861141
5,51.4985,0.88829,3.47855,0.0237,0.88998,0.15625,0.29996,0.22165,0.83059,5.95157,0.03136,0.00106844,0.00106844,0.00106844
6,55.5389,0.92117,3.2592,0.02456,0.89363,0.21875,0.31695,0.24475,0.79613,5.14863,0.03008,0.00118812,0.00118812,0.00118812
7,60.948,0.93129,3.07728,0.02469,0.91363,0.25,0.6204,0.4222,0.94855,5.21744,0.03591,0.00117575,0.00117575,0.00117575
8,64.9957,1.01213,3.03666,0.02674,0.64849,0.21875,0.5471,0.44594,0.82482,5.21777,0.03107,0.00116337,0.00116337,0.00116337
9,68.8403,0.92466,2.83171,0.02521,0.44686,0.48847,0.57126,0.42549,1.06445,4.68069,0.04329,0.001151,0.001151,0.001151
10,74.1323,1.00953,2.76002,0.02756,0.49512,0.5,0.66397,0.56836,0.88322,4.3062,0.03398,0.00113863,0.00113863,0.00113863
11,78.5232,1.03843,2.73635,0.02754,0.73208,0.5,0.82719,0.61391,0.98956,3.87864,0.03694,0.00112625,0.00112625,0.00112625
12,82.4329,1.03238,2.58713,0.02818,0.88004,0.38111,0.77148,0.51318,1.11854,3.84952,0.04479,0.00111388,0.00111388,0.00111388
13,86.3799,0.98185,2.55388,0.02637,0.69047,0.5,0.80795,0.60307,0.89208,3.5698,0.03404,0.0011015,0.0011015,0.0011015
14,92.3426,0.98072,2.38834,0.02598,0.75553,0.46755,0.75531,0.58296,0.84209,3.58819,0.03114,0.00108913,0.00108913,0.00108913
15,96.146,0.96284,2.32846,0.02516,0.55346,0.55821,0.88732,0.72678,0.81241,3.28788,0.02975,0.00107675,0.00107675,0.00107675
16,100.22,0.88763,2.31567,0.02347,0.53066,0.93099,0.849,0.74502,0.67841,3.11109,0.02414,0.00106437,0.00106437,0.00106437
17,105.57,0.9519,2.16356,0.02504,0.85085,0.70399,0.86368,0.71875,0.79916,3.00982,0.02944,0.001052,0.001052,0.001052
18,110.126,0.95716,2.17864,0.02514,0.74335,0.66667,0.65244,0.50442,0.82097,2.92322,0.03063,0.00103962,0.00103962,0.00103962
19,113.99,0.95841,2.07605,0.02525,0.75299,0.64674,0.64022,0.4771,0.80204,3.1912,0.03063,0.00102725,0.00102725,0.00102725
20,118.226,0.9009,2.00058,0.02318,0.79124,0.5,0.63315,0.41949,0.77765,3.30445,0.02999,0.00101488,0.00101488,0.00101488
21,123.383,0.92282,2.06985,0.02476,0.86704,0.46875,0.60193,0.3898,1.08189,3.32171,0.04199,0.0010025,0.0010025,0.0010025
22,127.173,0.92468,1.98491,0.02399,0.44611,0.88542,0.60844,0.44579,1.04357,2.97521,0.03922,0.000990125,0.000990125,0.000990125
23,131.01,0.88073,1.91725,0.02247,0.7378,0.57292,0.54541,0.44557,0.93741,2.89393,0.03546,0.00097775,0.00097775,0.00097775
24,136.738,0.89629,1.88496,0.02307,0.93764,0.38149,0.66812,0.53455,0.84836,2.75967,0.03168,0.000965375,0.000965375,0.000965375
25,140.625,0.86812,1.77087,0.02288,0.59544,0.64856,0.72496,0.55245,0.70858,2.66946,0.0253,0.000953,0.000953,0.000953
26,144.494,0.92783,1.80401,0.02535,0.70686,0.56348,0.81909,0.49814,0.95458,3.25664,0.03671,0.000940625,0.000940625,0.000940625
27,148.952,0.85208,1.6788,0.02269,0.62291,0.54167,0.55959,0.39182,0.71012,3.04883,0.02584,0.00092825,0.00092825,0.00092825
28,154.017,0.83223,1.64422,0.02108,0.9171,0.5912,0.78111,0.62155,0.69643,2.3316,0.02538,0.000915875,0.000915875,0.000915875
29,157.775,0.85586,1.65392,0.02121,0.95263,0.65216,0.89986,0.69048,0.68122,2.11988,0.02531,0.0009035,0.0009035,0.0009035
30,161.532,0.83975,1.6596,0.02107,0.87233,0.56773,0.89714,0.61489,0.95026,2.24713,0.03736,0.000891125,0.000891125,0.000891125
31,166.92,0.86974,1.67388,0.02238,0.76524,0.52086,0.87182,0.56212,0.8331,2.58995,0.03262,0.00087875,0.00087875,0.00087875
32,171.076,0.85457,1.68087,0.02234,0.62377,0.88329,0.92077,0.65686,0.77435,2.26008,0.0289,0.000866375,0.000866375,0.000866375
33,174.836,0.81526,1.58962,0.02117,0.81047,0.91667,0.92712,0.70315,0.83258,1.78567,0.03017,0.000854,0.000854,0.000854
34,178.947,0.84742,1.61241,0.02178,0.68429,0.91667,0.95867,0.80971,0.74326,1.69039,0.02779,0.000841625,0.000841625,0.000841625
35,184.306,0.80143,1.45827,0.02048,0.68907,0.91667,0.95172,0.77148,0.69466,1.66789,0.02551,0.00082925,0.00082925,0.00082925
36,188.131,0.84838,1.53494,0.02104,0.61114,0.9743,0.96743,0.78269,0.75276,1.66569,0.0272,0.000816875,0.000816875,0.000816875
37,192.279,0.80132,1.43772,0.02047,0.48551,0.9375,0.94983,0.71734,0.80181,1.79248,0.02959,0.0008045,0.0008045,0.0008045
38,197.811,0.77815,1.38138,0.01956,0.34354,0.79886,0.65395,0.51043,0.831,2.44223,0.03133,0.000792125,0.000792125,0.000792125
39,202.037,0.831,1.48322,0.02071,0.52239,0.65059,0.61473,0.503,0.76156,2.4001,0.02788,0.00077975,0.00077975,0.00077975
40,205.835,0.79355,1.41761,0.01999,0.66747,0.62107,0.78817,0.63518,0.75558,2.16674,0.02772,0.000767375,0.000767375,0.000767375
41,210.197,0.84679,1.45284,0.0219,0.66522,0.65625,0.73433,0.54472,0.67896,2.02333,0.0246,0.000755,0.000755,0.000755
42,215.392,0.7775,1.39461,0.01993,0.6518,0.57292,0.6249,0.52362,0.69472,1.76642,0.02483,0.000742625,0.000742625,0.000742625
43,219.257,0.85244,1.36821,0.0214,0.71935,0.62661,0.80967,0.59473,0.82887,1.62866,0.03071,0.00073025,0.00073025,0.00073025
44,223.1,0.75805,1.32452,0.01944,0.6435,0.63542,0.80379,0.61295,0.7331,1.64185,0.02773,0.000717875,0.000717875,0.000717875
45,228.798,0.82739,1.39016,0.02147,0.96311,0.55665,0.92292,0.67581,0.75987,1.66263,0.02786,0.0007055,0.0007055,0.0007055
46,232.889,0.80796,1.31422,0.02027,0.95896,0.48792,0.91718,0.66781,0.82853,1.66962,0.03016,0.000693125,0.000693125,0.000693125
47,236.686,0.81101,1.25946,0.01985,0.95698,0.51166,0.9255,0.73711,0.72907,1.66076,0.02697,0.00068075,0.00068075,0.00068075
48,241.267,0.79047,1.21683,0.01971,0.96185,0.5156,0.92508,0.78317,0.76142,1.61051,0.02758,0.000668375,0.000668375,0.000668375
49,246.082,0.75784,1.20814,0.01848,0.58705,0.88407,0.93304,0.76451,0.77343,1.50283,0.02827,0.000656,0.000656,0.000656
50,249.92,0.76957,1.2157,0.01906,0.57255,1,0.9641,0.76177,0.75385,1.36383,0.02863,0.000643625,0.000643625,0.000643625
51,253.64,0.77138,1.28026,0.01972,0.8667,0.57364,0.97901,0.78875,0.72718,1.44087,0.02664,0.00063125,0.00063125,0.00063125
52,259.062,0.72425,1.18398,0.0183,0.81747,0.64374,0.84608,0.70345,0.72508,1.4878,0.02629,0.000618875,0.000618875,0.000618875
53,263.203,0.74249,1.10944,0.01812,0.78534,0.6875,0.642,0.5381,0.66548,1.4211,0.02388,0.0006065,0.0006065,0.0006065
54,266.994,0.75868,1.22624,0.0195,0.83702,0.61879,0.85681,0.6933,0.71406,1.27738,0.02647,0.000594125,0.000594125,0.000594125
